,state,participation_rate,english,math,total
0,Alabama,7.0,583,560,1143
1,Alaska,41.0,556,541,1097
2,Arizona,31.0,569,565,1134
3,Arkansas,6.0,582,559,1141
4,California,63.0,534,531,1065
5,Colorado,100.0,518,506,1024
6,Connecticut,100.0,529,516,1046
7,Delaware,100.0,499,486,985
9,Florida,100.0,516,483,999
10,Georgia,71.0,538,519,1058
11,Hawaii,54.0,550,550,1100
12,Idaho,100.0,505,488,993
13,Illinois,100.0,509,504,1013
14,Indiana,66.0,543,537,1080
15,Iowa,3.0,622,622,1244
16,Kansas,4.0,618,623,1241
17,Kentucky,4.0,620,612,1232
18,Louisiana,5.0,610,591,1200
19,Maine,99.0,512,502,1013
20,Maryland,82.0,535,523,1058
21,Massachusetts,81.0,559,561,1120
22,Michigan,100.0,507,496,1003
23,Minnesota,4.0,636,648,1284
24,Mississippi,3.0,628,608,1237
25,Missouri,4.0,622,615,1236
26,Montana,9.0,603,596,1199
27,Nebraska,3.0,628,631,1260
28,Nevada,20.0,580,576,1156
29,New Hampshire,95.0,533,526,1059
30,New Jersey,82.0,544,545,1090
31,New Mexico,18.0,543,530,1073
32,New York,79.0,531,533,1064
33,North Carolina,51.0,554,546,1100
34,North Dakota,2.0,627,636,1263
35,Ohio,19.0,550,548,1097
36,Oklahoma,22.0,490,472,963
37,Oregon,51.0,562,550,1112
38,Pennsylvania,70.0,545,537,1082
40,Rhode Island,100.0,503,492,995
41,South Carolina,68.0,526,504,1030
42,South Dakota,3.0,633,635,1268
43,Tennessee,7.0,618,602,1220
44,Texas,68.0,515,507,1022
45,Utah,4.0,614,615,1230
46,Vermont,66.0,560,546,1106
48,Virginia,68.0,567,551,1119
49,Washington,70.0,539,535,1074
50,West Virginia,99.0,483,460,943
51,Wisconsin,3.0,635,648,1283
52,Wyoming,3.0,623,615,1238
